순번;제목;저자명;출판사;isbn여부;ISBN;한줄소개
12;감성한조각, drawing book;김미선;그리다북 그리다붓;Y;9791198343406;"""감성한조각""은 일상의 아름다움을 그림으로 담은 특별한 일러스트북입니다.
김미선 작가의 아이패드 그림은 따뜻한 감성과 행복을 담아내어 우리의 마음을 따스하게 만들어줍니다.
이 책은 30개의 일상 드로잉 작품으로 구성되어 있으며, 그림을 통해 우리 일상 속에 숨겨져 있는 아름다움을 발견할 수 있습니다."
13;마음이 말을 담지 못하는 순간;이나혜;-;N;-;나의 이야기 이지만, 당신의 이야기이기도 할, 우리가 지나온 시간에 대한 반추'
14;벚꽃이 피는데 헤어지자 말한다;이나혜;-;N;-;"‘난생처음 사랑에 빠진 사람처럼 헤맸다.’

이별을 맞이하기까지, 많은 시간 나를 괴롭히며 잠 못 이루던 날들, 뜬눈으로 밤을 지새우던 새벽을 이야기해보려 한다.
사랑한 시간보다 이별했던 시간이 길었다. 내게 이별은 곧 사랑이기도 했다. 더 깊은 의미의 사랑.
누군가에겐 이별의 시간이 비로소 사랑을 되새기는 시간이 되곤 한다."
15;나에게 안녕을 묻는다;정모래;이응이응프레스;Y;9791198502513;"2018년 어느 여름날, 예고도 없이 찾아온 마음의 병은 평생 우울증이라는 걸 모르고 살았던 제 삶을 송두리째 바꿔 놓았습니다.
그렇게 저는 살기 위해 제주에 왔습니다.
지금도 어딘가에 숨어 괴로워하고 있을 이름 모를 당신에게 담담한 위로를 전합니다.
충분히 괜찮다고, 행복할 수 있다고."
16;털 헤는 밤;이공이;이응이응프레스;Y;9791198502506;"10살 고양이와 13살 개. 어느새 나보다 훌쩍 앞서버린 세월을 지켜봅니다.
필연적인 이별이 무서워 매일 소용없는 연습을 합니다."
17;오후세시 민영의 서재;민영;-;Y;-;"이 책은 인문학을 전공한 꿈 많은 엄마의 일상을 담은 에세이입니다.

엄마의 삶을 살면서 소소하게 느끼는 행복에 관한 글들, 가족 여행 중에 써 모았던 짧은 글들, 사회생활을 하면서 인간관계에 대처하는 상념을 담은 글들과 이루지 못한 꿈에 관한 글들을 서툴지만 직접 그린 손 드로잉과 함께  한권의 책으로 만들었습니다."
18;후쿠오카그라탕;민영;인디펍;Y;9791167562579;"쓰다 보니 음식과 함께 추억과 일상이 담겼습니다. 글을 쓰면서 제게 던졌던 질문들을 인터뷰로 만들어도 보기도 하고, 따라 하기 쉬운 토마토 레시피들도 살짝 담았습니다.

토마토에 관한 이야기를 많이 하게 되어서, 책의 제목도 토마토 에세이 중에서 뽑았습니다."
19;스며들다;민영;-;Y;-;하루의 감정을 돌아보고 기록하고 월 말이 되면 지나온 한 달을 되돌아보며 무의식으로 자신을 지지해 주었던 것 같습니다. 겨울에서 봄 동안의 기록들을 모아 단상집으로 엮었습니다. 단정하게 하루를 살아가고픈 독자들에게도 자신의 감정을 기록하는 힌트가 되어줄 수 있었으면 좋겠습니다.
20;봄날愛도쿄;민영;공감동화;Y;9791198518651;지극히 사적이고 좌충우돌인 초보 여행자의 여행 기록이 어떤 의미로 독자에게 다가갈 수 있을지 조심스럽습니다. 모쪼록 제가 여행 준비를 할 때 참고했던 블로그나 유튜브 영상처럼 독자들의 혼자 여행에도 참고가 되고 친구가 될 수 있기를 바라 봅니다.
21;요즘 예술가들;고민석;슬기북스;Y;9791196637064;예술인들을 위한 스타터패키지를 서비스하는 모아도에 등록되어 있는 아티스트들의 이야기를 담은 인터뷰집이다. 모아도는 예술가들을 세상에 알리기 위해 카드뉴스 형태의 인터뷰인 GSG 웹매거진을 150여 차례 발행해왔다. 이 책은 해당 인터뷰 중 50인의 이야기를 보다 상세하게 담으며, 예술가들의 내면세계를 더욱 가까이 다가가도록 안내한다.
22;저는 은행경비원입니다;히읗;-;N;-;"은행에서 유일하게 비정규직인 은행 경비원은 높은 연봉을 받고,
전문적인 일을 하며, 거기다가 정규직인 은행원들 사이에서 어디에도
소속되지 못한 낙동강 오리알, 미움받는 오리새끼였습니다.
그들과 함께 일하며 겪은 모든 일에 대한 감정과 생각 그리고 사실을 썼습니다."
23;집, 어느 민달팽이의 유랑;유보;-;N;-;보통의 달팽이와는 달리 집은 없지만 서식지가 있는 민달팽이로 작가 자신을 비유하는 것에서 출발한 자전적 에세이. 발 딛고 살았던 물리적 집보다 더 집이라고 여긴 정신적 셸터에 관한 유랑일기.
24;애정 재단;유보;-;N;-;당신에겐 사랑이지만 나에겐 사랑이 아닌 것, 나에겐 사랑이지만 당신에겐 사랑이 아닌 것, 그 누구에게도 사랑이 아닌 것, 우리 모두에게 사랑인 것. 재단하지 않는 마음을 담아 쓴 애정하는 모든 것에 관한 이야기.
25;Letters to (WINTER);유보;-;N;-;"『레터스 투 윈터 Letters to (WINTER)』는 여름의 시인 Y가 겨울의 화가 R에게 쓴 편지와 R이 Y에게 보낸 그림으로 만들었습니다. 편지에 그림으로 답장한 특별한 서간집입니다.
Y는 자신의 시집 <하지가 지나고 장마가 끝나도>에 등장하는 여름의 시적 이미지를 겨울이 훨씬 익숙한 R이 보다 너그러이 감상하기를 소망했습니다. 그리하여 시에 담았던 태도와 시선과 절망과 동경을 겨울의
분위기와 사물로 덧대어 편지를 써 보냈지요. 편지를 읽은 후, R은 편지와 시에 대한 자신의 감상과 재해석을 통해 몇 폭의 그림을 완성했습니다.
이곳은 사실과 허구가 뒤섞인 세계입니다."
26;모든 시작은 서툴다;어니스트 레빗;인디펍;Y;9791196209995;"""확실한 답을 주기 위한 책이 아닌, 한 번쯤 누구나 겪어봤을 상황에 대한 글쓴이의 경험적 생각을 표현한 수필집이다. 누구나 쉽게 자신의 인생을 빗대어 생각해 볼 수 있는 솔직하고,
담백한 이야기가 실려 있다. ""    "
27;어느 것 하나 특별한 것 없음;어니스트 레빗;인디펍;Y;9791196209957;"""오래 보아야 보인다.""라는 문장이 있습니다.
무엇을 그토록 오래 보아야 하는 것일까요?

내 마음이 불편한 사물과 관계를 계속해서 억지로 본다고 한들. 좋지 않은 모습만 더 오래 보게 되는 것이 인생의 모순 같은데.

우리가 사랑하고, 좋아하던 계절의 변화 속 겨울을 맞이 한 순간. 스쳐왔던 계절의 소중함을 *비로소 깨닫게 됩니다."
28;물결의 장면;최지호;포마드;Y;9791198518309;"「물결의 장면」 은 올해 호주 생활을 하면서
홀로 마주한 바다의 기록물입니다.
책 표지를 열면서 파도치는 바다의 방으로
입장하는 듯한 느낌이 들었으면 좋겠습니다.
모두가 한 번쯤 꿈꿔온 자신만의 바다를 바라보며 살아가길 바라는 마음으로 물결의 장면을 선물합니다."
29;불안한 톳;이택민;책편사;Y;9791197121692;머릿속을 부유하는 불안한 마음을 얇게 펴 종이 위에 널어놓았다. 햇볕을 쬐고 바람에 마르는 동안 불안한 마음에도 모양이란 게 생겼다. 이리저리 치이는 가벼운 마음일지라도 그 마음이, 그 마음을 적어낸 글이 백 장 정도 쌓인다면, 한 장이 백 장이 되어 한 톳이라 불리는 것처럼, 불안도 다른 말로 부를 수 있을까 하는 마음으로 불안 한 톳을 엮게 되었다.
30;라이딩 모드;이택민;책편사;Y;9791197121647;나는 왜 자전거를 타는가. 나는 왜 국토종주를 했는가. 나는 왜 10년 동안 이 취미를 이어오고 있는가. 나는 페달을 굴리며 어떤 생각을 하는가. 나는 왜 자전거여야만 했는가. 그러자 머릿속엔 초심이란 단어가 떠올랐고, 지나온 세월에 대해 책임을 져야겠다고 생각했다. 10년동안 바퀴를 굴리며 지면(地面) 위에서 느낀 감상을 지면(紙面)으로 옮겨 놓았다.
31;첨벙하고 고요해지면서;이택민;책편사;Y;9791197121678;9개월 차 요가 초심자의 수련 일지. 단순히 수련을 하며 적어낸 문장이 아닌, 책을 읽으시는 분들께도 당신은 어디를 향해 첨벙하고 있는지, 무엇으로부터 고요해지고 있는지 물음을 던지는 책이다.
32;공허 한 거리;이택민;책편사;Y;9791197121630;거리는 오이나 가지를 묶어 세는 단위로 50개를 ‘한 거리’라 한다. 오이나 가지를 한 움큼, 아니 한 개 사기도 버거운 시대에 그것을 50개, 한 거리나 들고 다닌다는 건 사치에 가깝다. 어쩌면 우리가 느끼는 공허 또한 비슷하지 않을까. 이렇듯 공허가 사치가 된 시대에, 빈 마음을 사색으로 채우며 적어낸 50편의 글과 40편의 단상을 수록하였다.
33;고민 한 두름;이택민;책편사;Y;9791197121609;블로그를 8년 동안 운영하며 <문득> 카테고리에 담아냈던 글, 군 시절 수많은 공책에 끄적였던 문장, 여행을 떠나 가졌던 사색의 시간을 한 권의 책으로 묶어내었다. 그 속에는 갓 스무 살의 입학생, 군 입대를 앞둔 한 남자, 휴가를 나온 일병, 아무도 쳐다보지 않는 복학생, 용돈벌이를 하는 아르바이트생, 6년간의 대학 생활을 마무리한 졸업생, 미지의 세계를 탐닉하던 여행자, 사회 초년생을 자처하는 취업 준비생, 맞지 않은 옷을 입었던 직장인, 그리고 퇴사자의 삶이 하나로 이어져있다.접기
34;갈 데가 있어서요;이택민;책편사;Y;9791197121623;글이란 무엇을 쓸 수 있는지보다, 무엇을 덜어낼 수 있는지에 대해 고민하는 것이다. 두 번째 책을 준비하면서 생각했다. 더 잘할 수 있을거란 욕심을 버려야 한다고. 한 시절이 담긴 문장을 넉넉한 마음으로 놓아주자고.
35;적당히 솔직해진다는 것;안화용;도서출판 로다;Y;9791198457608;어디까지 솔직해야 듣는 사람도 계속 웃고 있을까, 어디까지 솔직하게 써도 될까, 망설여본 적이 있나요? 이제는 스스로에 대해 솔직해지고 싶어서, 매주 한편, 부비프글방에서 글을 썼습니다. 이 책에는 서른다섯 살 안화용에 대해 적당히 솔직하지만은 않은 글을 모았습니다.
36;여름으로 지어진 곳;소운;오롯이;Y;9791198271624;산이는 자꾸만 나를 꿈꾸게 만든다. 아직 열리지 않은 세상을 보여주고, 오지 않은 계절을 기다리게 한다. 계속해서 여기에 머물러도 된다는 이유를 만들어 준다. 나는 이미 산이의 눈빛에서 느끼고 있었다. 영원을 확인하는 방법은 그리 어렵지 않았다.
37;다정한 건 오래 머무르고;소운;오롯이;Y;9791198271600;아무것도 되고 싶지 않고, 아무것도 하고 싶지 않던 겨울. 이러고 있어도 되나 싶은데 이러고 있어도 된다고, 괜찮다고 얘기해 준 고마운 사람들의 다정한 마음을 엮었다. 이 다정한 마음들 덕분에 지난가을, 그리고 지금의 계절을 버텨내고 있다. 그동안 외면하던 내면에서 소리 없이 자라 온 감정들을 마주하는 용기를 얻어서 하루에 100글자 이내로 글을 쓰는 1일 업무를 하며 100일 동안 이 책을 채웠다.
38;덕빠죄아;루미풀;어피스;Y;9791197943126;90년대생 프로잡덕러의 덕질 소개 책이다. 노잼시기를 겪으며 무기력한 상태에 빠져버렸지만, 결국엔 좋아하는 걸 하면서 느끼는 행복이 저를 다시 일으켜주었다. 책 속에서 지금껏 좋아했던 수많은 덕질들을 보다가 마음에 드는 걸 한번 시도해보자. 내 우주의 중심이 덕질이 되는 경험을 할 것이다.
39;마음을 청소 중입니다;루미풀;어피스;Y;9791197943102;타인을 배려하다가 정작 자신의 감정을 제대로 알아차리지 못하시는 분들께서 제 책을 읽고 자신의 진짜 마음을 마주하는 계기가 되기를 희망합니다
40;나는 매일 밤 이혼을 꿈꾼다;우진;글섬;Y;9791198351906;"이 책은 주부로 살며, 가사와 육아로 지친 그대에게 위로와 공감의 메시지를 전합니다. 작가는 자기 경험을 바탕으로 현실적인 아내의 삶과 엄마의 감정을 솔직하게 그려냅니다. 일상에서 놓치기 쉬운 순간들에 집중하여 그 안에서 발견되는 아름다움과 의미를 전달합니다.
결혼과 육아는 나의 선택이었고, 그 선택에 대한 책임 속에서 억울함은 존재해서는 안 된다고 말하는 저자는, 불합리한 상황을 만나면 감정을 참으며 억누르지 말고 자신의 방법으로 분노를 터트리길 바란다고 조언합니다."
41;달의 양면;수민;커넥티드 퍼블리싱;Y;9791192363806;“한 번뿐인 시간을 위한 마음 정리”
42;우아한 가난뱅이;윤영;-;N;-;"나에게 맞지 않는 일을 20년 동안 했습니다.
불안한 미래를 위해 현재를 견뎠습니다.
종종 보람을 느끼고 즐겁기도 했지만, 여전히 마음속에서는 여기가 아니라는 말이 들렸습니다.
이제 살아 온 날보다 살아갈 날이 적게 남았습니다.
지금까지는 할 수 있는 일을 하면서 살았다면 이제는 하고 싶은 일을 하면서 살고 싶습니다.
더 이상 일하고 싶지 않습니다."
43;Draw my Journey;윤영;-;N;-;"2023년, 은퇴 후 2년 6개월 만에 첫 여행을 떠났습니다.
10년 전 가봤지만 언제나 다시 가보고 싶었던 곳으로.
삶의 모든 과정을 여행이라고 생각합니다."
44;파일럿이 된 집오리;앨릭스 채;뷰티풀 벡터;Y;9791198394712;여러분 인생의 '최고의 장면'은 무엇이었나요? 이 책은 날 수 없는 집오리가 날고 싶다는 꿈을 이루기 위해 경비행기를 조종하는 파일럿이 되어, 꿈과 사랑을 넘어서는 궁극적인 무언가(최고의 장면)를 찾아 세상의 가장 아름다운 곳들을 모험하는 이야기를 담았습니다. 총 20개의 삽화가 동화적인 서사를 이루며, 어린 어른들과 청소년들의 마음에 힐링을 줍니다.
45;이상 소견이 있습니다;예슬;인디펍;Y;9791167560827;‘이상 소견이 있습니다’는 자궁경부암 검사를 받은 후 달라진 일상을 겪으며 되돌아보는 자궁 경험담입니다.
46;술의 주성분은 낭만;잔주;잔주;Y;9791198354402;"술이 가진 특별함은 무수히 많지만, 술을 안 좋게 보는 시선들은 아직도 허다합니다.
건강하지 않다느니, 돈과 시간이 아깝다느니, 중독이라느니 하는 것들.
이러한 부정적인 시선에 가려 빛을 보지 못했던 술에 관한 이야기들을 담았습니다."
47;개화기;송다정;시작;Y;9791198301505;"여기 한겨울처럼 새하얀 개화기가 있다.

한때는 하면 된다는 식의 무자비한 희망을 품었었고
한때는 모든 것에 지쳐 포기도 해봤다가
한때는 한없이 무기력해지기도 했었다."
48;연간엘리;엘리;-;N;-;"중국어, 중국어캘리그라피, 중국을 키워드로 하는 연간지
"
49;뭐라도 되겠죠;박한의;Yellow Socks;Y;9791197860300;"""평범한 사람의 마음은 평범한 사람이 잘 압니다.""
""평범하지만 찬란한 청춘의 기록."""
50;롤러코스터를 타는 소녀;탈리타;인디펍;Y;9791167561459;저는 7년째 우울/조울증 약을 먹고 있습니다. 그 기간 동안 경험한 사건과 생각의 단상을 기록해 보았습니다. 이 책은 롤러코스터를 타는 듯한 에너지의 기복과 함께 어떻게 살아갔는지, 마음 건강을 챙기기 위해 어떻게 살고 있는지에 대한 제 이야기입니다
51;내리는 비에게 떠나온 구름의 안부를 묻는 건;호담;가난한 시간들;Y;9791196694548;그동안 그저 한 걸음, 한 걸음 앞으로 걷는 것에 집중했기 때문일까요. 하늘을 올려다보는 일은 점차 줄어갔습니다. 약간의 용기를 더해 각박했던 현실을 벗어났지만 그곳에서 마냥 행복했던 건 아니었습니다. 하지만 손에 쥔 것을 놓고 한 걸음 나아가 뒤돌아보았을 때, 비로소 자신을 온전히 되짚어 볼 수 있었습니다.
52;미뤄둔 계절이 다시금 다가올 때;호담;가난한 시간들;Y;9791196694531;언제나처럼 계절은 다시 돌아오고 그 앞에서 지난 시절 남겨두지 못 함에 더는 마음 쓰지 않기 위해, 지나간 시간을 떠올렸을 때, 더는 아파하지 않을 만큼 건강해지고 싶다는 다짐입니다.
53;삭망월 적당히 따로일 때;호담;가난한 시간들;Y;9791196694517;
54;그저_글;이윤서;인디펍;Y;9791167562869;"생각과 아픔과 기쁨과 사랑을 꽃그림과 꽃말, 시로 담았습니다.
대신하지 못할 어떤 순간에 어떤 한 문장을 만나 당신 곁에 남아있을 수 있다면 좋겠다고 생각했습니다. 같이 살아가는 누군가의 애정어린 응원이 이 책을 만나는 모든 분들께 전해지길 기원합니다."
55;엄마 동화;스윗라임;인디펍;Y;9791190003650;평생 '내'가 주인공인 삶을 살다 갑자기 '아이'에게 그 자리를 내어준 엄마들의 복잡하고 혼란스런 마음을 동화 속 비유와 상징에 담아 그려냅니다이 책에 담긴 두편의 동화가 누군가에겐 <위로>가, 누군가에겐 <예방주사>가, 누군가에겐 <참고서>가 되어주길 바래봅니다.
56;겨울 영혼 여름 비밀;손유미;고요 이웃;Y;9791198097002;"겨울 영혼과 여름 비밀을 품고 있는
시적 산문집"
57;독립출판 작가와 일러스트 작가의 작업 안내서;Dung LEE;곰곰출판;Y;9791197614453;"작가가 되고 싶으신가요? 
작가를 꿈꾸는 당신이 선택할 수 있는 다양한 방법에 대해 두 작가가 이야기합니다."
58;소원;Dung LEE;곰곰출판;Y;9791197614415;페이지를 넘기면 움직이는 그림책. 우리는 다양하게 변화할 수 있는 유동적인 존재라는 이야기를 그렸습니다. 모든 개체는 고정된 존재가 아니라 원한다면 무엇이든 될 수 있고 변화 할 수 있다는 메시지가 있는 책.
59;칸과 홈의 세계로 바라본 전북 - 지역의 눈으로 만화/웹툰 읽기;Dung LEE;곰곰출판;Y;9791197614446;이 책은 전북 지역을 배경으로 그린 만화/웹툰 작품을 찾아 리뷰하고, 전북 지역에 거주하고 있는 만화/웹툰 작가를 찾아 인터뷰해 이들의 목소리를 기록했다. 7편의 작품 리뷰와 불친, 불키드, 조눈, 리도, 진재원 등 5명의 작가 인터뷰를 실었다. 만화 작품 리뷰에서는 전주, 군산, 김제, 정읍, 부안 등의 장소 풍경을 탐색하고, 작가들과의 인터뷰에서는 지역의 만화 창작환경에 대한 진솔하고 생생한 이야기를 가감없이 담았다.
60;독립출판 질문집 - 3년 동안 독립출판 단톡방에서 가장 많이 했던 질문 모음집;Dung LEE;곰곰출판;N;-;3년 동안 독립출판 단톡방에서 가장 많이 했던 질문 모음집 <독립출판 질문집>의 사용법과 장점을 소개합니다.
61;내책 만들기 나의 워크북 -북디자이너와 함께하는 기획하며 디자인하기;Dung LEE;곰곰출판;Y;9791197614422;북디자이너와 함께하는 기획하며 디자인하기 <내책 만들기 나의 워크북>은 자신의 책을 스스로 만들고 싶은 분들을 위한 ‘워크북’입니다.
62;그림책 만들기 메뉴얼 A to Z;Dung LEE;곰곰출판;Y;9791197614408;나만의 그림책을 만들고 싶은가요? 그림책 제작 방법을 순서대로 정리 했습니다. 책의 설명대로 따라 하면당신도 그림책 한권을 손에 쥘 수 있습니다. 한권의 책을 처음부터 끝까지 만드는 과정을 담았습니다.
63;전라북도 여성주의 여성창작자 인터뷰집  ;달나무 외 24인;곰곰출판;N;-;"<전라북도 여성주의 여성창작자 인터뷰집>의 인터뷰어는 총 25명의 창작자로 다양한 영역에서 활동하고 있는 창작자들을 인터뷰
하였다. "
64;독립출판 작가와 일러스트 작가가 나누는 작업 이야기;Dung LEE;곰곰출판;N;-;디자인 회사와 출판사를 거쳐 독립출판으로 책을 만드는 둥리와 취미로 그리던 그림이 직업이 된 프리랜서 일러스트레이터 이곤의 작업 이야기를 담았습니다. 작업과정부터 외주, 전시, 행사, 출판, 워크샵 등 다양한 경험을 하면서 느꼈던 점을 말하고, 멘탈 관리와 스터디, SNS 홍보 등 프리랜서로 활동하면서 작업 능력을 키우는데 도움이 되었던 방법을 소개합니다.
65;나무;김민창;궤도;Y;9791197919206;"반 손잡이입니다.
오른손으로 젓가락질을 못 합니다.
왼손으로 글씨를 못 씁니다.

진실한 글을 쓰고 싶어 양손잡이가 아닌
반 손잡이라 소개합니다.

오른손이든 왼손이든 편견없이 공감하며
살아가고 싶습니다."
66;바다가 건넨 ㅁㅇ;드므;낱개의 하루;Y;9791198081407;‘바다’라는 큰 주제 아래 아홉 편의 수필이 펼쳐집니다. 일상을 덮치는 ‘삶의 불 예측성’, 그러함에도 살아나가기 위한 ‘단단한 마음’, 그리고 살아있어서 좋은 ‘오늘’에 대해 말하고자 합니다.
67;사는 게 뭔지;김진화;심다;Y;9791196438241;"왜 사는지 몰라 괴로울 때 같이 사는 고양이를 보며 조금씩 이유를 찾았습니다.

그 고양이와 함께한 10년을 사진과 함께 담았습니다.
"
68;나의 정의;지우;Equilibrium;Y;9791198281708;모든 걸 버리고 사라지고 싶은 순간들이 있었다. 나의 기인은 순간에서 시작되었다. 아프다고 말하면 주저앉아 버릴 것만 같아서, 더는 나아가지 못하는 일이 무서워서 혼자 있을 때도 내가 꼭 웃을 수 있길 바랐다.
69;울며 사랑하기;윤안채영;인디펍;Y;9791167562524;우는 시간보다 웃는 시간이 많았지만 결국 나의 기억에 자국을 남긴 건 울면서 사랑한 시간이다. 그 기억들에는 일말의 미화도, 폄하도 없다. 그저 기억하고 적을 뿐이다. <울며 사랑하기>는 단지 '너'와 ‘나’ 둘만의 사랑에 그치지 않고 좀 더 넓은 '우리'의 사랑에 대한 사건들을 실었다. 나의 '우리'에는 당신도 포함 되어 있다.
70;체감;윤안채영;인디펍;N;-;이 책은 나의 세상으로 당신을 부르는 일종의 초대장이자 녹록지 않은 세상에 대한 도전장입니다. 이 책을 가지고 계신 거면 저의 초대를 승낙하신 거겠지요. 영광이에요. 별 건 없지만 저로 가득 채워져 있는 이곳이 마음에 들었으면 좋겠습니다.
71;무너지고 무너져도 축복받은 인생이다;박교현;포유;Y;9791198288608;"지난 날의 수많은 여행길을 통해 느꼈던 여러 감각들을 기록했고 길 위에서 맛보았던 무한한 자유를 글로 표현하였다.
또한 생을 살아가면서 겪는 고통으로 무너지고 무너져도 그곳에서 바라 볼 수 있는 아름다운 것을 발견할 수 있었기에
나에게 온 고통이 그리 나쁜 것 만은 아니었고, 축복으로 가는 길이었음을 독자들에게 알리고 싶었다."
72;오늘이라는 계절;양윤미;새새벽책방;Y;9791197862205;그리움은 과거를 향하는 시선만은 아닙니다. 먼 훗날의 내가 사무치게 그리워질 오늘의 내가 얼마나 눈부실 지 상상하는 시선이기도 합니다. 지금 이 순간에 오롯이 존재하며, 다시 돌아오지 않을 오늘을 제대로 살고, 제대로 사랑하고 싶은 사람들을 위해 시를 씁니다. 시집 한 권이 주는 위안의 한 모금으로 희망을 잡을 수 있길 바랍니다.
73;이제 조금은 알거 같아;윤상현;새새벽책방;Y;9791197081392;<이제 조금은 알거 같아>는 아직은 세상이 낯선 청년이 그가 느꼈던 서툴지만 솔직한 감정들을 또래에게 전한다는 내용입니다. 아직은 세상이 무섭고 낯설게만 느껴지고 나아갈 길에 대해 고민과 부담이 많은 시기이지만, 솔직한 마음을 담아 조금은 현실적이지만 감성적으로 마음을 울리기 바라며 메시지를 전달합니다.
74;너의 다정이 나를 살리고;조선옥;오전 열시;Y;9791198355102;때로는 누군가에게 삶의 이유가 되기도 하는 타인의 다정함을 다뤄 우리 안의 다정함을 일깨우는 단편소설 6편 모음집
75;것들에 대한 책;유진;심다;Y;9791189665791;그저 가만히 내 삶에 집중하는 것처럼요.나의 작은 단상집입니다.
76;가쓰오부시를 먹은 개구리;박시시;나이프에디션;Y;9791198228307;동물들은 먹는 행위를 통해 스스로 되고 싶은 모습을 재정의한다. 아홉 마리 동물의 삶의 고뇌와 기쁨을 담은 블랙코미디 단편희곡집.
77;녀석이 다가온다;이리;시무룩해도 괜찮아;N;-;"나만이 전부였던 우리집에 낯선 냄새가 난다!
무슨 생각을 하는지 모를 녀석이 내 공간에 들어왔다.
나는 가까이 다가가지 못하고 지켜볼 뿐이다.
주변을 맴도는 나에게 이번엔 녀석이 다가오는데…"
78;사랑하는 습관;양한나;-;N;-;"폐허가 된 마음, 습관이 된 사랑
“지난날에 때로 나는 습관처럼 사랑했다.”"
